freq,regisveh,unit,vehicle,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,D001,MIO_VKM,BUS_TOT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	396 	398 	404 	412 	411 	422 	431 	428 	435 	438 	450 	459 	479 	497 	496 	496 	490 	520 	507 	468 	509 	506 	506 	507 	520 	528 	544 	558 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	660 	670 	680 	720 r	750 	770 	800 	830 	820 	830 	770 	: 	: 	960 	650 	660 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	518.6 r	473.5 	494.9 	460.8 	506.5 	465.800 	440 	457 	486 	447 	524.100 	427.600 	320.200 
A,D001,MIO_VKM,BUS_TOT,CH	187 	195 	208 	218 	229 	199 	211 	219 	236 	238 	243 	270 	288 	295 	290 	292 	307 	321 	332 	349 	358 	215 r	218 	219 	328 r	331 r	326 r	325 r	323 r	323 r	328 r	329 r	331 r	342 r	348 r	362 r	377 r	375 r	369 r	381 r	389 r	400 	406 	415 	421 	431 	441 	445 	458 	470 	453 
A,D001,MIO_VKM,BUS_TOT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11658 	: 	598 	: 	: 	: 	716 	716.8 e	725.5 	765.3 	: 	: 	639 	: 	: 	: 	: 	472 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3183 	3249 	3277 	4023 	3891 	3806 	3737 	3739 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D001,MIO_VKM,BUS_TOT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	162.9 	: 	: 	168.6 	167.5 	168.8 	170.6 	176.05 	181.8 	196 	203 	212 	201 	: 	: 	: 	: 	: 	158.400 e	161 e	175 e	206.400 e	237.800 e	235.100 e	221.500 e	216.300 
A,D001,MIO_VKM,BUS_TOT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2374 	2505 	2237 	2194 	2372 	2308 	2250 	1715 	2023 	2028 	1292 	1344 	1369 	903 
A,D001,MIO_VKM,BUS_TOT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	680 	650 	640 	640 	630 	620 	620 	620 	600 	590 	590 	595 	595 	590 	585 	580 	580 	580 	580 	580 	580 	580 	: 	580 	580 	580 	635 b	630 	614 	601 	523 
A,D001,MIO_VKM,BUS_TOT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3322 	3398 	3477 	: 	3561 	3623 	3259 	3308 	3279 	3296 	3265 	2389 
A,D001,MIO_VKM,BUS_TOT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	335 	343 	359 	306 	299 	310 	300 	300 	300 	290 	300 	305 	320 	320 	330 	210 
A,D001,MIO_VKM,BUS_TOT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	662.93 	663 	: 	: 	: 	663.300 	683 	668.790 	688.710 	718.540 e	730.730 e	734.530 e	632.930 
